dataset,split,assay,n_rounds,eta,colsample_bytree,lambda,alpha,scale_pos_weight
Ames,compound,TA100,300,0.3,0.5,10,1,weight
Ames,compound,TA100_S9,300,0.1,0.7,1,1,1
Ames,compound,TA1535,700,0.3,0.5,1,1,1
Ames,compound,TA1535_S9,300,0.1,0.7,10,1,1
Ames,compound,TA97,300,0.1,0.5,10,1,weight
Ames,compound,TA97_S9,700,0.1,0.7,1,0,1
Ames,compound,TA98,700,0.1,0.5,10,0,1
Ames,compound,TA98_S9,300,0.1,0.5,1,0,weight
Ames,compound,TA1537,300,0.1,0.5,1,0,weight
Ames,compound,TA1537_S9,700,0.5,0.5,1,1,weight
Ames,compound,TA102,300,0.1,0.5,1,0,weight
Ames,compound,TA102_S9,700,0.5,0.5,10,0,weight
Ames,assay,TA100,700,0.3,0.5,1,1,1
Ames,assay,TA100_S9,700,0.5,0.7,10,0,weight
Ames,assay,TA1535,300,0.1,0.5,10,1,1
Ames,assay,TA1535_S9,300,0.1,0.7,10,1,1
Ames,assay,TA97,300,0.1,0.5,10,1,weight
Ames,assay,TA97_S9,300,0.1,0.5,10,1,weight
Ames,assay,TA98,700,0.3,0.7,1,1,1
Ames,assay,TA98_S9,300,0.5,0.7,10,1,weight
Ames,assay,TA1537,300,0.3,0.7,1,0,1
Ames,assay,TA1537_S9,700,0.3,0.7,10,1,1
Ames,assay,TA102,700,0.1,0.7,1,1,1
Ames,assay,TA102_S9,700,0.1,0.5,1,0,1
Tox21,compound,NR-AR,300,0.1,0.5,10,1,1
Tox21,compound,NR-AR-LBD,300,0.1,0.7,1,0,1
Tox21,compound,NR-AhR,700,0.3,0.5,10,0,weight
Tox21,compound,NR-ER,700,0.5,0.5,1,1,1
Tox21,compound,NR-ER-LBD,700,0.1,0.7,1,0,weight
Tox21,compound,NR-PPAR-gamma,700,0.1,0.7,10,1,weight
Tox21,compound,SR-ARE,300,0.3,0.5,10,1,weight
Tox21,compound,SR-ATAD5,300,0.3,0.5,1,1,weight
Tox21,compound,SR-HSE,300,0.1,0.7,1,1,1
Tox21,compound,SR-MMP,700,0.3,0.7,10,1,weight
Tox21,compound,SR-p53,300,0.5,0.5,10,0,weight
Tox21,compound,NR-Aromatase,700,0.5,0.7,10,0,weight
Tox21,assay,NR-AR,300,0.1,0.7,10,1,1
Tox21,assay,NR-AR-LBD,300,0.1,0.5,1,0,1
Tox21,assay,NR-AhR,700,0.1,0.7,1,0,weight
Tox21,assay,NR-ER,700,0.1,0.7,10,1,1
Tox21,assay,NR-ER-LBD,700,0.1,0.7,1,0,1
Tox21,assay,NR-PPAR-gamma,700,0.1,0.5,10,0,weight
Tox21,assay,SR-ARE,700,0.3,0.7,10,1,weight
Tox21,assay,SR-ATAD5,700,0.1,0.5,10,1,weight
Tox21,assay,SR-HSE,300,0.5,0.5,1,0,weight
Tox21,assay,SR-MMP,300,0.5,0.5,10,1,weight
Tox21,assay,SR-p53,700,0.3,0.5,1,1,weight
Tox21,assay,NR-Aromatase,700,0.3,0.7,10,1,1
Toxcast,assay,all,700,0.1,0.5,10,1,1
